Z,TotPer_P,TotPer_A,HBW_P,HBW_A,HBShp_P,HBShp_A,HBOth_P,HBOth_A,HBSch_PR_P,HBSch_PR_A,HBSch_SC_P,HBSch_SC_A,HH_NHBW_P,NHBW_P,NHBW_A,HH_NHBNW_P,NHBNW_P,NHBNW_A,TotExt_P,TotExt_A,IX_P,IX_A,XI_P,XI_A,SH_Truck_P,SH_Truck_A,LT_P,LT_A,MD_P,MD_A,HV_P,HV_A,LT_Peop_p,LT_Peop_a,MD_Peop_p,MD_Peop_a,LT_Good_p,LT_Good_a,MD_Good_p,MD_Good_a,HV_Good_p,HV_Good_a,LT_Serv_p,LT_Serv_a,MD_Serv_p,MD_Serv_a,HV_Serv_p,HV_Serv_a,IX_MDp,IX_MDa,IX_HVp,IX_HVa,XI_MDp,XI_MDa,XI_HVp,XI_HVa
  1273,      5936.4,      6394.4,       993.4,       880.8,       443.6,      1509.9,      1579.9,      1262.2,        94.2,           0,        83.8,           0,       466.3,       977.6,       977.6,       729.3,      1763.9,      1763.9,        39.7,        86.8,        39.7,           0,           0,        86.8,      1209.5,      1209.5,       660.1,       660.1,       401.4,       401.4,       148.1,       148.1,           0,           0,           0,           0,       660.1,       660.1,       401.4,       401.4,       148.1,       148.1,           0,           0,           0,           0,           0,           0,         6.2,           0,         4.2,           0,           0,         8.5,           0,         6.3
  1274,      3216.8,      4444.8,       468.5,       840.5,       208.1,       918.6,       717.5,       929.7,        35.3,           0,        31.4,           0,       221.8,       645.2,       645.2,       340.6,      1110.8,      1110.8,        18.5,        60.0,        18.5,           0,           0,        60.0,       823.1,       823.1,       439.4,       439.4,       275.6,       275.6,       108.0,       108.0,           0,           0,           0,           0,       439.4,       439.4,       275.6,       275.6,       108.0,       108.0,           0,           0,           0,           0,           0,           0,         4.3,           0,         3.1,           0,           0,         5.8,           0,         4.6
  1275,      5034.5,     11929.2,       235.5,      3457.3,       103.3,      2400.7,       359.4,      1771.8,        19.5,           0,        17.3,           0,       111.2,      1623.8,      1623.8,       168.1,      2675.6,      2675.6,         9.2,       159.6,         9.2,           0,           0,       159.6,      2035.7,      2035.7,      1030.4,      1030.4,       696.2,       696.2,       309.1,       309.1,           0,           0,           0,           0,      1030.4,      1030.4,       696.2,       696.2,       309.1,       309.1,           0,           0,           0,           0,           0,           0,        10.7,           0,         8.8,           0,           0,        14.8,           0,        13.2
  1276,      4160.4,      3198.6,      1031.9,       475.6,       452.5,       321.6,      1559.6,      1438.0,        81.0,           0,        72.0,           0,       488.9,       334.8,       334.8,       734.0,       628.6,       628.6,        40.3,        43.3,        40.3,           0,           0,        43.3,      1054.9,      1054.9,       589.8,       589.8,       346.5,       346.5,       118.7,       118.7,           0,           0,           0,           0,       589.8,       589.8,       346.5,       346.5,       118.7,       118.7,           0,           0,           0,           0,           0,           0,         5.3,           0,         3.4,           0,           0,         7.3,           0,         5.1
  1277,        35.7,      2596.8,           0,        25.9,           0,        14.9,           0,        37.0,           0,           0,           0,      2483.3,           0,        14.0,        14.0,           0,        21.7,        21.7,           0,         1.5,           0,           0,           0,         1.5,        13.5,        13.5,         6.7,         6.7,         4.6,         4.6,         2.1,         2.1,           0,           0,           0,           0,         6.7,         6.7,         4.6,         4.6,         2.1,         2.1,           0,           0,           0,           0,           0,           0,         0.1,           0,         0.1,           0,           0,         0.1,           0,         0.1
  1278,      3727.0,      2080.0,      1056.3,        50.4,       461.5,           0,      1615.5,      1622.9,        99.0,           0,        88.0,           0,       495.2,       100.2,       100.2,       759.6,       306.5,       306.5,        41.4,        20.9,        41.4,           0,           0,        20.9,       774.4,       774.4,       420.0,       420.0,       270.7,       270.7,        83.7,        83.7,           0,           0,           0,           0,       420.0,       420.0,       270.7,       270.7,        83.7,        83.7,           0,           0,           0,           0,           0,           0,         4.2,           0,         2.4,           0,           0,         5.7,           0,         3.6
  1279,      2730.7,      1558.6,       727.7,       109.5,       304.5,       121.1,      1144.4,       942.8,        89.5,           0,        79.5,           0,       334.9,       102.6,       102.6,       514.0,       282.6,       282.6,        28.5,        16.2,        28.5,           0,           0,        16.2,       482.4,       482.4,       259.0,       259.0,       169.3,       169.3,        54.2,        54.2,           0,           0,           0,           0,       259.0,       259.0,       169.3,       169.3,        54.2,        54.2,           0,           0,           0,           0,           0,           0,         2.6,           0,         1.5,           0,           0,         3.6,           0,         2.3
  1280,      5565.8,      4747.7,      1430.1,       807.6,       634.2,        92.9,      2273.0,      2890.4,       143.8,           0,       127.8,           0,       668.3,       311.2,       311.2,      1047.9,       645.6,       645.6,        57.1,        50.0,        57.1,           0,           0,        50.0,      1439.4,      1439.4,       749.9,       749.9,       510.1,       510.1,       179.4,       179.4,           0,           0,           0,           0,       749.9,       749.9,       510.1,       510.1,       179.4,       179.4,           0,           0,           0,           0,           0,           0,         7.9,           0,         5.1,           0,           0,        10.8,           0,         7.7
  1281,      4002.2,      2834.8,      1033.3,       332.1,       447.1,       149.9,      1640.7,      1666.9,       103.3,           0,        91.8,           0,       479.7,       201.5,       201.5,       759.7,       484.4,       484.4,        41.1,        29.7,        41.1,           0,           0,        29.7,       841.9,       841.9,       444.6,       444.6,       297.1,       297.1,       100.3,       100.3,           0,           0,           0,           0,       444.6,       444.6,       297.1,       297.1,       100.3,       100.3,           0,           0,           0,           0,           0,           0,         4.6,           0,         2.9,           0,           0,         6.3,           0,         4.3
  1282,      2368.6,      1610.9,       599.5,        59.9,       278.6,       133.0,       975.4,      1011.9,        57.7,           0,        51.3,           0,       282.8,       101.6,       101.6,       451.8,       304.5,       304.5,        24.4,        16.6,        24.4,           0,           0,        16.6,       509.2,       509.2,       274.8,       274.8,       178.3,       178.3,        56.1,        56.1,           0,           0,           0,           0,       274.8,       274.8,       178.3,       178.3,        56.1,        56.1,           0,           0,           0,           0,           0,           0,         2.8,           0,         1.6,           0,           0,         3.8,           0,         2.4
