coefficient_name,tour_mode,0,1,2,3,4,5
taxi_ASC_auto_deficient_work,other_transit,-1.4766,-7.626909703,-11.0050902,-14.39927371,-17.85708355,-21.35621283
taxi_ASC_auto_deficient_atwork,other_transit,-4.4046,-10.5549097,-13.9330902,-17.32727371,-20.78508355,-24.28421283
taxi_ASC_auto_sufficient_eatout_othdiscr_social,other_transit,-3.0374,-9.187709703,-12.5658902,-15.96007371,-19.41788355,-22.91701283
taxi_ASC_auto_sufficient_escort_othmaint_shopping,other_transit,-1.8055,-7.955809703,-11.3339902,-14.72817371,-18.18598355,-21.68511283
taxi_ASC_auto_sufficient_school,other_transit,-2.4294,-8.579709703,-11.9578902,-15.35207371,-18.80988355,-22.30901283
taxi_ASC_auto_sufficient_univ,other_transit,-0.3131,-6.463409703,-9.841590196,-13.23577371,-16.69358355,-20.19271283
taxi_ASC_auto_sufficient_work,other_transit,-4.8509,-11.0012097,-14.3793902,-17.77357371,-21.23138355,-24.73051283
taxi_ASC_auto_sufficient_atwork,other_transit,-2.8804,-9.030709703,-12.4088902,-15.80307371,-19.26088355,-22.76001283
tnc_single_ASC_no_auto_eatout_othdiscr_social,other_transit,1.6852,-4.465109703,-7.843290196,-11.23747371,-14.69528355,-18.19441283
tnc_single_ASC_no_auto_escort_othmaint_shopping,other_transit,1.8605,-4.289809703,-7.667990196,-11.06217371,-14.51998355,-18.01911283
tnc_single_ASC_no_auto_school,other_transit,-7,-13.1503097,-16.5284902,-19.92267371,-23.38048355,-26.87961283
tnc_single_ASC_no_auto_univ,other_transit,-2.519,-8.669309703,-12.0474902,-15.44167371,-18.89948355,-22.39861283
tnc_single_ASC_no_auto_work,other_transit,5.7855,-0.364809703,-3.742990196,-7.137173706,-10.59498355,-14.09411283
tnc_single_ASC_no_auto_atwork,other_transit,4.4982,-1.652109703,-5.030290196,-8.424473706,-11.88228355,-15.38141283
tnc_single_ASC_auto_deficient_eatout_othdiscr_social,other_transit,-2.9623,-9.112609703,-12.4907902,-15.88497371,-19.34278355,-22.84191283
tnc_single_ASC_auto_deficient_escort_othmaint_shopping,other_transit,0.6748,-5.475509703,-8.853690196,-12.24787371,-15.70568355,-19.20481283
tnc_single_ASC_auto_deficient_school,other_transit,-0.5524,-6.702709703,-10.0808902,-13.47507371,-16.93288355,-20.43201283
tnc_single_ASC_auto_deficient_univ,other_transit,1.0221,-5.128209703,-8.506390196,-11.90057371,-15.35838355,-18.85751283
tnc_single_ASC_auto_deficient_work,other_transit,-0.8013,-6.951609703,-10.3297902,-13.72397371,-17.18178355,-20.68091283
tnc_single_ASC_auto_deficient_atwork,other_transit,-3.7626,-9.912909703,-13.2910902,-16.68527371,-20.14308355,-23.64221283
tnc_single_ASC_auto_sufficient_eatout_othdiscr_social,other_transit,-2.3239,-8.474209703,-11.8523902,-15.24657371,-18.70438355,-22.20351283
tnc_single_ASC_auto_sufficient_escort_othmaint_shopping,other_transit,-1.45,-7.600309703,-10.9784902,-14.37267371,-17.83048355,-21.32961283
tnc_single_ASC_auto_sufficient_school,other_transit,-2.8375,-8.987809703,-12.3659902,-15.76017371,-19.21798355,-22.71711283
tnc_single_ASC_auto_sufficient_univ,other_transit,0.2088,-5.941509703,-9.319690196,-12.71387371,-16.17168355,-19.67081283
tnc_single_ASC_auto_sufficient_work,other_transit,-4.1946,-10.3449097,-13.7230902,-17.11727371,-20.57508355,-24.07421283
tnc_single_ASC_auto_sufficient_atwork,other_transit,-2.7988,-8.949109703,-12.3272902,-15.72147371,-19.17928355,-22.67841283
tnc_shared_ASC_no_auto_eatout_othdiscr_social,other_transit,0.6464,-5.503909703,-8.882090196,-12.27627371,-15.73408355,-19.23321283
tnc_shared_ASC_no_auto_escort_othmaint_shopping,other_transit,0.9361,-5.214209703,-8.592390196,-11.98657371,-15.44438355,-18.94351283
tnc_shared_ASC_no_auto_school,other_transit,-7,-13.1503097,-16.5284902,-19.92267371,-23.38048355,-26.87961283
tnc_shared_ASC_no_auto_univ,other_transit,-5.8116,-11.9619097,-15.3400902,-18.73427371,-22.19208355,-25.69121283
tnc_shared_ASC_no_auto_work,other_transit,3.2429,-2.907409703,-6.285590196,-9.679773706,-13.13758355,-16.63671283
tnc_shared_ASC_no_auto_atwork,other_transit,3.3672,-2.783109703,-6.161290196,-9.555473706,-13.01328355,-16.51241283
tnc_shared_ASC_auto_deficient_eatout_othdiscr_social,other_transit,-4.3576,-10.5079097,-13.8860902,-17.28027371,-20.73808355,-24.23721283
tnc_shared_ASC_auto_deficient_escort_othmaint_shopping,other_transit,-0.3863,-6.536609703,-9.914790196,-13.30897371,-16.76678355,-20.26591283
tnc_shared_ASC_auto_deficient_school,other_transit,-1.4746,-7.624909703,-11.0030902,-14.39727371,-17.85508355,-21.35421283
tnc_shared_ASC_auto_deficient_univ,other_transit,3.25,-2.900309703,-6.278490196,-9.672673706,-13.13048355,-16.62961283
tnc_shared_ASC_auto_deficient_work,other_transit,-2.1435,-8.293809703,-11.6719902,-15.06617371,-18.52398355,-22.02311283
tnc_shared_ASC_auto_deficient_atwork,other_transit,-4.5089,-10.6592097,-14.0373902,-17.43157371,-20.88938355,-24.38851283
tnc_shared_ASC_auto_sufficient_eatout_othdiscr_social,other_transit,-3.6638,-9.814109703,-13.1922902,-16.58647371,-20.04428355,-23.54341283
tnc_shared_ASC_auto_sufficient_escort_othmaint_shopping,other_transit,-2.4365,-8.586809703,-11.9649902,-15.35917371,-18.81698355,-22.31611283
tnc_shared_ASC_auto_sufficient_school,other_transit,-3.7219,-9.872209703,-13.2503902,-16.64457371,-20.10238355,-23.60151283
tnc_shared_ASC_auto_sufficient_univ,other_transit,-0.9068,-7.057109703,-10.4352902,-13.82947371,-17.28728355,-20.78641283
tnc_shared_ASC_auto_sufficient_work,other_transit,-5.3575,-11.5078097,-14.8859902,-18.28017371,-21.73798355,-25.23711283
tnc_shared_ASC_auto_sufficient_atwork,other_transit,-3.5397,-9.690009703,-13.0681902,-16.46237371,-19.92018355,-23.41931283
local_bus_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,bus,-0.090703264,-2.971901449,-4.402558398,-5.509455524,-6.384913952,-7.061692604
local_bus_ASC_school_univ,bus,-0.06508621,-2.946284395,-4.376941344,-5.48383847,-6.359296898,-7.03607555
local_bus_ASC_work,bus,0.06689507,-2.814303115,-4.244960064,-5.35185719,-6.227315618,-6.90409427
walk_light_rail_ASC_eatout_escort_othdiscr_othmaint_shopping_social_atwork,walk_light_rail,0.76895475,-1.300707952,-1.469345492,-1.282264395,-1.052113071,-0.863067308
